trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'a': 0.5, 'e': 0.9997254218438987}",35,7,-91.02068324719757,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.9996965529699711}",20,0,-145.2530440968341,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9996646498695335}",30,0,-100.53441247414237,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9996293938593735}",20,0,-183.25830752047472,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9995904328350139}",25,0,-123.09283722809276,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9995473777767595}",25,0,-224.10488786053077,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.9994997988929204}",20,0,-165.8810621233692,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9994472213630764}",20,0,-126.21511801736347,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9993891206405656}",30,0,-275.16701083994866,"{0: 15, 1: 4, 2: 3, 3: 4, 4: 4}",0
28,False,"{'a': 0.5, 'e': 0.9993249172693671}",35,0,-156.98458129574522,"{0: 22, 1: 5, 2: 4, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9992539711661633}",20,0,-83.39067404562373,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9991755753136017}",30,0,-141.57913778547453,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9990889488055994}",20,0,-100.7884183955479,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9989932291799144}",25,17,-17.097912443530298,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.9988874639671397}",25,0,-149.42562657306388,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9987706013787225}",30,0,-231.5004996848714,"{0: 17, 1: 1, 2: 5, 3: 4, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9986414800495711}",20,0,-108.39007815158762,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.998498817743263}",25,0,-159.04386218662376,"{0: 10, 1: 6, 2: 6, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9983411989198255}",20,0,-123.24359278841408,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9981670610575072}",20,0,-35.28606842206531,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9979746796109501}",25,0,-162.97783388868453,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.9977621514787237}",20,0,-70.14787902387741,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9975273768433652}",20,0,-16.427387766611357,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.9972680392369889}",25,0,-79.06127343001171,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9969815836752915}",20,0,-112.66065483763994,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9966651926925867}",25,0,-134.82091659326252,"{0: 10, 1: 4, 2: 9, 3: 2, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.996315760100564}",25,0,-85.45249784445122,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9959298622841039}",25,0,-165.79498814685383,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.9955037268390589}",20,0,-129.81471526627533,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9950331983499431}",30,13,-78.99389019970526,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.9945137011005496}",20,0,-177.53959099030592,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9939401985084159}",20,9,-40.20883625790718,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.9933071490757152}",20,0,-104.52249518693598,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.992608458655718}",20,0,-173.68232620187246,"{0: 6, 1: 2, 2: 9, 3: 2, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9918374288468401}",30,20,-9.644057089108594,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.9909867013471522}",25,0,-186.21632462043084,"{0: 10, 1: 3, 2: 10, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.9900481981330956}",25,4,-101.0726091437279,"{0: 11, 1: 0, 2: 9, 3: 1, 4: 0}",1
